INFO 2025-03-19 22:29:24,651 autoreload Watching for file changes with StatReloader
DEBUG 2025-03-19 22:29:24,817 autoreload File C:\Users\sananthaa\AppData\Local\Programs\Python\Python313\DLLs\unicodedata.pyd first seen with mtime 1733239692.0
DEBUG 2025-03-19 22:29:24,817 autoreload File D:\MySQL\.venv\Lib\site-packages\django\db\models\__init__.py first seen with mtime 1742313111.7225401
DEBUG 2025-03-19 22:29:24,817 autoreload File C:\Users\sananthaa\AppData\Local\Programs\Python\Python313\Lib\urllib\parse.py first seen with mtime 1733239650.0
DEBUG 2025-03-19 22:29:24,817 autoreload File D:\MySQL\.venv\Lib\site-packages\django\template\backends\django.py first seen with mtime 1742313111.7851422
DEBUG 2025-03-19 22:29:24,817 autoreload File C:\Users\sananthaa\AppData\Local\Programs\Python\Python313\Lib\email\utils.py first seen with mtime 1733239648.0
DEBUG 2025-03-19 22:29:24,818 autoreload File D:\MySQL\.venv\Lib\site-packages\django\contrib\sessions\middleware.py first seen with mtime 1742313111.4869025
DEBUG 2025-03-19 22:29:24,818 autoreload File D:\MySQL\.venv\Lib\site-packages\django\views\i18n.py first seen with mtime 1742313111.810527
DEBUG 2025-03-19 22:29:24,818 autoreload File C:\Users\sananthaa\AppData\Local\Programs\Python\Python313\Lib\email\mime\multipart.py first seen with mtime 1733239648.0
DEBUG 2025-03-19 22:29:24,819 autoreload File D:\MySQL\.venv\Lib\site-packages\sqlparse\filters\__init__.py first seen with mtime 1742313109.338679
DEBUG 2025-03-19 22:29:24,820 autoreload File D:\MySQL\.venv\Lib\site-packages\django\db\models\query.py first seen with mtime 1742313111.7295668
DEBUG 2025-03-19 22:29:24,820 autoreload File C:\Users\sananthaa\AppData\Local\Programs\Python\Python313\Lib\asyncio\events.py first seen with mtime 1733239648.0
DEBUG 2025-03-19 22:29:24,821 autoreload File D:\MySQL\.venv\Lib\site-packages\django\utils\__init__.py first seen with mtime 1742313111.7920597
DEBUG 2025-03-19 22:29:24,822 autoreload File D:\MySQL\.venv\Lib\site-packages\django\dispatch\dispatcher.py first seen with mtime 1742313111.7411025
DEBUG 2025-03-19 22:29:24,823 autoreload File D:\MySQL\.venv\Lib\site-packages\django\http\cookie.py first seen with mtime 1742313111.7712905
DEBUG 2025-03-19 22:29:24,823 autoreload File D:\MySQL\.venv\Lib\site-packages\django\contrib\staticfiles\management\__init__.py first seen with mtime 1742313111.6577454
DEBUG 2025-03-19 22:29:24,823 autoreload File D:\MySQL\.venv\Lib\site-packages\django\contrib\admin\templatetags\log.py first seen with mtime 1742313110.7297163
DEBUG 2025-03-19 22:29:24,824 autoreload File D:\MySQL\.venv\Lib\site-packages\django\contrib\auth\checks.py first seen with mtime 1742313110.8226986
DEBUG 2025-03-19 22:29:24,824 autoreload File D:\MySQL\.venv\Lib\site-packages\django\utils\asyncio.py first seen with mtime 1742313111.7966447
